time,rpm,mph,coolant_temp,oil_pressure,voltage,fuel_level,mpg,odometer,trip,range,runtime,illumination,left_turn_signal,right_turn_signal,hazards,high_beam,roof_down
03:01:43.954401 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:44.070026 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:44.204076 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:44.384966 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:44.540685 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:44.703225 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:44.854625 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:45.024898 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:45.191621 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:45.354500 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:45.489057 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:45.654140 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:45.777421 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:45.940980 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:46.200908 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:46.406127 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:46.595932 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:46.754854 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:01:46.906488 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
